StudyHours,ExtraParticipation,PapersPracticed,PreviousMarks,SleepingHours,PerformancePapersPracticedIndex
5,No,2,69,8,5
2,Yes,8,46,4,20
7,Yes,5,56,7,46
6,Yes,5,42,8,28
7,No,6,53,4,4
9,No,7,63,4,59
6,Yes,,59,4,48
6,No,7,96,9,87
7,No,8,46,7,37
7,Yes,4,79,9,73
4,Yes,4,80,7,66
2,Yes,4,49,4,30
9,No,0,66,4,6
6,Yes,2,56,6,45
,Yes,4,54,8,52
,No,3,72,4,4
,No,7,83,7,63
8,Yes,6,85,4,78
3,No,4,86,6,63
4,Yes,,63,9,42
6,No,6,74,6,59
,Yes,2,4,8,5
6,No,8,49,8,38
9,No,4,8,4,76
6,Yes,2,94,9,84
3,No,,52,7,32
5,No,,44,7,30
7,Yes,9,96,6,92
9,Yes,5,54,6,52
6,Yes,5,68,5,57
7,Yes,2,70,4,60
2,Yes,9,55,8,35
2,Yes,7,6,6,42
9,No,2,54,6,53
2,Yes,2,59,4,36
9,No,5,66,8,64
9,Yes,7,52,7,45
7,Yes,,55,8,47
7,No,8,83,9,76
6,Yes,6,89,7,79
,Yes,3,83,7,79
2,Yes,4,97,9,74
7,Yes,7,77,4,69
8,No,,99,8,93
5,Yes,6,83,8,72
9,No,3,68,5,64
7,Yes,0,84,5,73
6,Yes,3,80,8,68
8,No,9,80,7,73
5,No,8,57,5,39
,No,5,96,8,72
3,No,4,77,8,57
3,Yes,9,9,7,74
8,No,8,89,5,88
9,No,7,77,5,70
8,Yes,6,95,6,89
9,No,3,77,7,74
8,No,3,93,8,86
4,No,0,9,8,74
6,No,6,7,8,62
7,No,5,47,5,39
4,No,5,52,9,35
2,No,3,4,4,7
9,Yes,7,83,8,83
5,Yes,7,98,6,80
9,No,7,40,5,36
,Yes,8,54,8,3
3,Yes,,87,8,68
4,Yes,3,55,6,38
5,Yes,5,85,8,70
7,No,0,72,4,6
8,No,3,97,7,93
8,No,8,92,9,88
9,Yes,9,93,7,95
2,No,3,93,8,68
5,Yes,2,53,9,40
3,No,8,86,4,66
2,Yes,5,65,9,42
3,No,9,64,9,47
9,No,4,78,7,76
9,Yes,7,67,6,64
,No,6,87,6,58
,Yes,2,85,5,66
8,No,4,56,7,52
2,No,2,82,9,58
8,Yes,5,43,4,35
4,No,3,46,7,26
9,No,9,83,8,8
8,No,5,7,9,69
,No,,54,6,27
,Yes,2,48,4,20
3,Yes,4,43,8,23
5,No,9,46,5,33
9,No,2,79,6,78
9,Yes,9,98,6,95
4,No,,98,5,80
3,Yes,3,84,5,67
8,No,0,95,5,89
7,No,3,96,5,82
9,Yes,6,62,9,65
6,Yes,4,92,9,86
,No,7,54,7,28
7,Yes,6,45,6,38
5,Yes,6,70,4,55
,Yes,0,47,5,8
9,No,4,75,8,73
6,Yes,,6,6,49
8,No,5,84,9,80
6,No,2,87,5,72
2,Yes,2,6,9,40
2,No,5,72,6,5
3,Yes,5,43,6,2
3,Yes,2,57,7,39
2,Yes,2,5,4,22
3,No,7,46,8,26
,No,0,54,5,27
2,Yes,8,74,6,49
3,Yes,4,45,7,24
2,Yes,0,48,5,23
,No,5,79,4,52
4,No,2,56,6,39
8,No,0,83,6,79
8,Yes,7,92,7,85
6,Yes,,60,9,47
5,No,8,64,5,49
6,Yes,4,72,6,59
3,Yes,8,73,6,53
6,Yes,,80,9,68
4,No,0,9,8,73
9,Yes,,60,7,58
3,Yes,5,82,9,67
8,Yes,7,59,4,52
7,No,6,75,8,66
5,No,7,8,5,67
,No,7,47,8,20
7,Yes,5,98,7,88
8,No,,64,5,57
9,No,4,42,4,36
5,Yes,5,55,4,39
,No,8,4,8,7
6,Yes,9,55,4,43
,No,3,4,4,2
7,No,0,5,4,43
9,Yes,,52,8,47
9,Yes,2,62,7,63
,No,6,69,6,40
3,Yes,7,58,8,37
6,Yes,,78,5,67
2,No,,4,9,20
3,No,7,49,8,29
7,No,3,53,5,40
9,No,0,49,5,46
8,Yes,2,82,6,79
8,No,2,52,5,45
,No,5,92,9,70
2,No,8,42,8,20
3,Yes,3,54,4,35
7,Yes,,44,9,36
2,No,5,72,7,
3,No,6,40,4,9
5,Yes,3,90,4,74
3,Yes,5,54,4,30
2,Yes,3,92,4,67
6,No,9,4,5,34
8,No,8,47,8,42
7,Yes,,90,4,76
4,Yes,3,9,4,7
,No,0,43,9,7
2,Yes,0,77,5,53
5,No,7,69,9,57
2,Yes,9,70,7,49
8,No,,75,4,66
5,No,3,66,5,52
6,Yes,5,7,5,60
8,No,8,88,5,85
6,No,0,49,6,39
7,No,8,52,5,43
5,Yes,,9,8,76
4,Yes,6,73,7,57
2,No,,77,9,52
4,Yes,7,59,4,38
7,No,2,52,5,43
6,No,7,68,9,57
3,Yes,7,54,7,29
2,No,0,79,9,58
2,Yes,8,70,7,54
5,Yes,8,9,4,75
4,No,7,65,4,48
,Yes,3,63,8,36
6,No,2,76,8,64
4,Yes,6,83,4,64
4,No,5,98,7,78
6,No,4,83,7,73
9,Yes,9,93,7,93
,Yes,0,69,4,39
2,Yes,,94,9,72
3,Yes,,52,9,33
4,No,0,4,5,2
8,No,,52,7,48
4,Yes,9,98,4,8
6,Yes,4,48,5,35
9,Yes,9,65,9,68
6,Yes,8,86,4,75
9,No,4,46,8,46
9,Yes,5,95,5,88
5,Yes,8,52,9,38
4,Yes,9,47,9,28
6,Yes,5,85,6,72
8,No,5,4,8,37
7,No,8,99,4,89
6,No,3,70,7,57
3,No,0,49,6,26
4,No,,40,9,22
2,Yes,0,55,7,30
3,No,8,4,8,20
3,No,4,92,4,70
,No,4,40,7,
,Yes,9,45,6,9
2,No,0,45,4,20
8,Yes,3,53,4,43
7,Yes,9,54,8,47
5,No,,62,6,46
