slope,fuel_consumption
-15,6.87
-14.7,8.76
-14.39,9.74
-14.09,10.71
-13.79,11.26
-13.48,12.17
-13.18,12.88
-12.88,14.4
-12.58,14.77
-12.27,15.42
-11.97,15.2
-11.67,16.54
-11.36,16.72
-11.06,16.35
-10.76,16.5
-10.45,16.62
-10.15,16.8
-9.85,17.02
-9.55,16.87
-9.24,16.63
-8.94,16.8
-8.64,16.13
-8.33,16.05
-8.03,15.86
-7.73,15.64
-7.42,15.64
-7.12,14.69
-6.82,14.62
-6.52,14.3
-6.21,13.33
-5.91,13.46
-5.61,12.58
-5.3,12.02
-5,12.45
-4.7,12.01
-4.39,11.4
-4.09,10.46
-3.79,9.82
-3.48,9.98
-3.18,9.33
-2.88,8.63
-2.58,8.64
-2.27,7.85
-1.97,8.42
-1.67,7.5
-1.36,7.67
-1.06,7.13
-0.76,7.18
-0.45,7.11
-0.15,6.69
0.15,7.48
0.45,7.34
0.76,7.62
1.06,7.76
1.36,7.71
1.67,8.35
1.97,7.91
2.27,8.48
2.58,8.88
2.88,9.79
3.18,10.57
3.48,11.26
3.79,12.72
4.09,13.25
4.39,14.27
4.7,15.73
5,16.64
5.3,18.72
5.61,19.53
5.91,22.09
6.21,23.64
6.52,24.96
6.82,26.79
7.12,29.75
7.42,31.93
7.73,34.37
8.03,36.97
8.33,38.98
8.64,42.12
8.94,44.88
9.24,48.78
9.55,51.85
9.85,55.03
10.15,58.4
10.45,62.45
10.76,66.44
11.06,70.99
11.36,75.23
11.67,79.98
11.97,84.25
12.27,88.78
12.58,94.44
12.88,99.74
13.18,105
13.48,110.87
13.79,116.45
14.09,122.54
14.39,128.73
14.7,134.82
15,141.61
