caffeine_deviation,productivity
-300,27.5
-293.94,32.68
-287.88,34.63
-281.82,36.86
-275.76,37.79
-269.7,40.43
-263.64,42.63
-257.58,48.39
-251.52,49.8
-245.45,52.63
-239.39,52.23
-233.33,58.32
-227.27,60.01
-221.21,59.7
-215.15,61.7
-209.09,63.76
-203.03,66.24
-196.97,69.06
-190.91,70.57
-184.85,71.83
-178.79,74.88
-172.73,74.69
-166.67,76.95
-160.61,78.83
-154.55,80.72
-148.48,83.5
-142.42,82.57
-136.36,85.18
-130.3,86.79
-124.24,85.84
-118.18,89.26
-112.12,88.63
-106.06,89.26
-100,93.8
-93.94,94.8
-87.88,95.06
-81.82,93.86
-75.76,93.8
-69.7,96.85
-63.64,96.52
-57.58,95.84
-51.52,97.86
-45.45,96.48
-39.39,100.4
-33.33,98.15
-27.27,100.06
-21.21,98.89
-15.15,99.9
-9.09,100.12
-3.03,98.73
3.03,101.87
9.09,101.03
15.15,101.57
21.21,101.22
27.27,99.8
33.33,100.8
39.39,97.11
45.45,97.13
51.52,96.06
57.58,96.65
63.64,96.32
69.7,95.2
75.76,96.72
81.82,94.07
87.88,92.95
93.94,93.11
100,90.56
106.06,92.21
112.12,88.24
118.18,90.77
124.24,88.74
130.3,85.21
136.36,83.15
142.42,85.03
148.48,83.19
154.55,81.81
160.61,80.45
166.67,76.07
172.73,75.57
178.79,72.89
184.85,74.12
190.91,71.34
196.97,68.29
203.03,65.28
209.09,64.27
215.15,62.27
221.21,61.77
227.27,59.23
233.33,57.99
239.39,54.04
245.45,50.28
251.52,50.25
257.58,47.97
263.64,44.64
269.7,42.89
275.76,39.14
281.82,36.55
287.88,33.41
293.94,28.98
300,26.43
